mean_score,total_steps,std_score,max_score,min_score
-509.86,0,0.0,-509.86,-509.86
-509.17,1,0.0,-509.17,-509.17
-509.71,2,0.0,-509.71,-509.71
-510.22,3,0.0,-510.22,-510.22
-509.77,4,0.0,-509.77,-509.77
-509.8,5,0.0,-509.8,-509.8
-509.98,6,0.0,-509.98,-509.98
-509.98,7,0.0,-509.98,-509.98
-509.09,8,0.0,-509.09,-509.09
-509.86,9,0.0,-509.86,-509.86
-509.95,10,0.0,-509.95,-509.95
-509.33,11,0.0,-509.33,-509.33
-510.07,12,0.0,-510.07,-510.07
-509.89,13,0.0,-509.89,-509.89
-509.29,14,0.0,-509.29,-509.29
-510.38,15,0.0,-510.38,-510.38
-509.4,16,0.0,-509.4,-509.4
-509.72,17,0.0,-509.72,-509.72
-509.34,18,0.0,-509.34,-509.34
-509.48,19,0.0,-509.48,-509.48
-510.47,20,0.0,-510.47,-510.47
-509.97,21,0.0,-509.97,-509.97
-508.9,22,0.0,-508.9,-508.9
-509.53,23,0.0,-509.53,-509.53
-509.44,24,0.0,-509.44,-509.44
-508.74,25,0.0,-508.74,-508.74
-509.12,26,0.0,-509.12,-509.12
-509.48,27,0.0,-509.48,-509.48
-509.7,28,0.0,-509.7,-509.7
-509.08,29,0.0,-509.08,-509.08
-509.25,30,0.0,-509.25,-509.25
-510.56,31,0.0,-510.56,-510.56
-509.02,32,0.0,-509.02,-509.02
-510.55,33,0.0,-510.55,-510.55
-509.9,34,0.0,-509.9,-509.9
-510.23,35,0.0,-510.23,-510.23
-510.02,36,0.0,-510.02,-510.02
-510.02,37,0.0,-510.02,-510.02
-509.76,38,0.0,-509.76,-509.76
-510.53,39,0.0,-510.53,-510.53
-510.19,40,0.0,-510.19,-510.19
-510.17,41,0.0,-510.17,-510.17
-509.74,42,0.0,-509.74,-509.74
-510.16,43,0.0,-510.16,-510.16
-510.12,44,0.0,-510.12,-510.12
-509.99,45,0.0,-509.99,-509.99
-510.47,46,0.0,-510.47,-510.47
-509.45,47,0.0,-509.45,-509.45
-509.89,48,0.0,-509.89,-509.89
-510.82,49,0.0,-510.82,-510.82
-508.12,50,0.0,-508.12,-508.12
-505.67,51,0.0,-505.67,-505.67
-505.3,52,0.0,-505.3,-505.3
-505.7,53,0.0,-505.7,-505.7
-505.19,54,0.0,-505.19,-505.19
-505.01,55,0.0,-505.01,-505.01
-504.98,56,0.0,-504.98,-504.98
-505.38,57,0.0,-505.38,-505.38
-505.33,58,0.0,-505.33,-505.33
-505.41,59,0.0,-505.41,-505.41
-505.17,60,0.0,-505.17,-505.17
-505.73,61,0.0,-505.73,-505.73
-505.25,62,0.0,-505.25,-505.25
-504.74,63,0.0,-504.74,-504.74
-505.03,64,0.0,-505.03,-505.03
-505.49,65,0.0,-505.49,-505.49
-505.4,66,0.0,-505.4,-505.4
-505.31,67,0.0,-505.31,-505.31
-505.07,68,0.0,-505.07,-505.07
-505.11,69,0.0,-505.11,-505.11
-505.0,70,0.0,-505.0,-505.0
-505.79,71,0.0,-505.79,-505.79
-505.03,72,0.0,-505.03,-505.03
-505.21,73,0.0,-505.21,-505.21
-504.94,74,0.0,-504.94,-504.94
-505.41,75,0.0,-505.41,-505.41
-505.28,76,0.0,-505.28,-505.28
-504.63,77,0.0,-504.63,-504.63
-504.74,78,0.0,-504.74,-504.74
-505.32,79,0.0,-505.32,-505.32
-505.2,80,0.0,-505.2,-505.2
-507.33,81,0.0,-507.33,-507.33
-508.84,82,0.0,-508.84,-508.84
-507.03,83,0.0,-507.03,-507.03
-498.27,84,0.0,-498.27,-498.27
-509.59,85,0.0,-509.59,-509.59
-509.61,86,0.0,-509.61,-509.61
-507.25,87,0.0,-507.25,-507.25
-506.14,88,0.0,-506.14,-506.14
-505.72,89,0.0,-505.72,-505.72
-506.12,90,0.0,-506.12,-506.12
-506.55,91,0.0,-506.55,-506.55
-506.2,92,0.0,-506.2,-506.2
-506.48,93,0.0,-506.48,-506.48
-501.41,94,0.0,-501.41,-501.41
-508.47,95,0.0,-508.47,-508.47
-507.43,96,0.0,-507.43,-507.43
-502.95,97,0.0,-502.95,-502.95
-508.41,98,0.0,-508.41,-508.41
-509.08,99,0.0,-509.08,-509.08
-506.52,100,0.0,-506.52,-506.52
-505.7,101,0.0,-505.7,-505.7
-505.82,102,0.0,-505.82,-505.82
-506.89,103,0.0,-506.89,-506.89
-508.88,104,0.0,-508.88,-508.88
-508.41,105,0.0,-508.41,-508.41
-509.35,106,0.0,-509.35,-509.35
-509.75,107,0.0,-509.75,-509.75
-509.5,108,0.0,-509.5,-509.5
-509.19,109,0.0,-509.19,-509.19
-509.65,110,0.0,-509.65,-509.65
-509.13,111,0.0,-509.13,-509.13
-503.89,112,0.0,-503.89,-503.89
-508.77,113,0.0,-508.77,-508.77
-510.27,114,0.0,-510.27,-510.27
-509.4,115,0.0,-509.4,-509.4
-509.56,116,0.0,-509.56,-509.56
-510.59,117,0.0,-510.59,-510.59
-498.34,118,0.0,-498.34,-498.34
-510.22,119,0.0,-510.22,-510.22
-508.74,120,0.0,-508.74,-508.74
-506.94,121,0.0,-506.94,-506.94
-511.08,122,0.0,-511.08,-511.08
-508.67,123,0.0,-508.67,-508.67
-507.55,124,0.0,-507.55,-507.55
-509.58,125,0.0,-509.58,-509.58
-505.16,126,0.0,-505.16,-505.16
-512.3,127,0.0,-512.3,-512.3
-510.52,128,0.0,-510.52,-510.52
-510.1,129,0.0,-510.1,-510.1
-512.0,130,0.0,-512.0,-512.0
-513.42,131,0.0,-513.42,-513.42
-514.28,132,0.0,-514.28,-514.28
-512.03,133,0.0,-512.03,-512.03
-513.17,134,0.0,-513.17,-513.17
-515.32,135,0.0,-515.32,-515.32
-515.28,136,0.0,-515.28,-515.28
-514.02,137,0.0,-514.02,-514.02
-507.48,138,0.0,-507.48,-507.48
-515.49,139,0.0,-515.49,-515.49
-516.21,140,0.0,-516.21,-516.21
-514.18,141,0.0,-514.18,-514.18
-511.74,142,0.0,-511.74,-511.74
-515.12,143,0.0,-515.12,-515.12
-514.31,144,0.0,-514.31,-514.31
-509.02,145,0.0,-509.02,-509.02
-509.89,146,0.0,-509.89,-509.89
-509.54,147,0.0,-509.54,-509.54
-504.58,148,0.0,-504.58,-504.58
-511.79,149,0.0,-511.79,-511.79
-510.53,150,0.0,-510.53,-510.53
-505.23,151,0.0,-505.23,-505.23
-507.04,152,0.0,-507.04,-507.04
-510.18,153,0.0,-510.18,-510.18
-509.97,154,0.0,-509.97,-509.97
-509.49,155,0.0,-509.49,-509.49
-503.06,156,0.0,-503.06,-503.06
-507.47,157,0.0,-507.47,-507.47
-509.41,158,0.0,-509.41,-509.41
-510.68,159,0.0,-510.68,-510.68
-510.08,160,0.0,-510.08,-510.08
-507.81,161,0.0,-507.81,-507.81
-508.94,162,0.0,-508.94,-508.94
-504.33,163,0.0,-504.33,-504.33
-509.51,164,0.0,-509.51,-509.51
-508.94,165,0.0,-508.94,-508.94
-505.95,166,0.0,-505.95,-505.95
-509.49,167,0.0,-509.49,-509.49
-510.04,168,0.0,-510.04,-510.04
-509.52,169,0.0,-509.52,-509.52
-507.27,170,0.0,-507.27,-507.27
-506.8,171,0.0,-506.8,-506.8
-503.24,172,0.0,-503.24,-503.24
-504.81,173,0.0,-504.81,-504.81
-503.12,174,0.0,-503.12,-503.12
-508.58,175,0.0,-508.58,-508.58
-510.04,176,0.0,-510.04,-510.04
-510.12,177,0.0,-510.12,-510.12
-507.83,178,0.0,-507.83,-507.83
-508.29,179,0.0,-508.29,-508.29
-509.74,180,0.0,-509.74,-509.74
-507.89,181,0.0,-507.89,-507.89
-507.27,182,0.0,-507.27,-507.27
-508.38,183,0.0,-508.38,-508.38
-508.77,184,0.0,-508.77,-508.77
-509.28,185,0.0,-509.28,-509.28
-510.02,186,0.0,-510.02,-510.02
-509.26,187,0.0,-509.26,-509.26
-507.24,188,0.0,-507.24,-507.24
-509.47,189,0.0,-509.47,-509.47
-506.98,190,0.0,-506.98,-506.98
-510.4,191,0.0,-510.4,-510.4
-503.57,192,0.0,-503.57,-503.57
-509.09,193,0.0,-509.09,-509.09
-507.16,194,0.0,-507.16,-507.16
-509.58,195,0.0,-509.58,-509.58
-510.09,196,0.0,-510.09,-510.09
-509.74,197,0.0,-509.74,-509.74
-509.34,198,0.0,-509.34,-509.34
-509.23,199,0.0,-509.23,-509.23
-511.47,200,0.0,-511.47,-511.47
-507.86,201,0.0,-507.86,-507.86
-510.42,202,0.0,-510.42,-510.42
-509.22,203,0.0,-509.22,-509.22
-509.95,204,0.0,-509.95,-509.95
-509.33,205,0.0,-509.33,-509.33
-509.65,206,0.0,-509.65,-509.65
-510.08,207,0.0,-510.08,-510.08
-510.31,208,0.0,-510.31,-510.31
-508.9,209,0.0,-508.9,-508.9
-510.16,210,0.0,-510.16,-510.16
-507.76,211,0.0,-507.76,-507.76
-510.62,212,0.0,-510.62,-510.62
-509.55,213,0.0,-509.55,-509.55
-509.98,214,0.0,-509.98,-509.98
-508.16,215,0.0,-508.16,-508.16
-509.11,216,0.0,-509.11,-509.11
-510.4,217,0.0,-510.4,-510.4
-509.75,218,0.0,-509.75,-509.75
-504.44,219,0.0,-504.44,-504.44
-507.87,220,0.0,-507.87,-507.87
-505.26,221,0.0,-505.26,-505.26
-503.78,222,0.0,-503.78,-503.78
-504.21,223,0.0,-504.21,-504.21
-508.39,224,0.0,-508.39,-508.39
-498.74,225,0.0,-498.74,-498.74
-504.27,226,0.0,-504.27,-504.27
-511.23,227,0.0,-511.23,-511.23
-509.49,228,0.0,-509.49,-509.49
-505.05,229,0.0,-505.05,-505.05
-510.95,230,0.0,-510.95,-510.95
-505.27,231,0.0,-505.27,-505.27
-507.82,232,0.0,-507.82,-507.82
-509.56,233,0.0,-509.56,-509.56
-508.63,234,0.0,-508.63,-508.63
-497.94,235,0.0,-497.94,-497.94
-508.68,236,0.0,-508.68,-508.68
-510.11,237,0.0,-510.11,-510.11
-509.77,238,0.0,-509.77,-509.77
-510.46,239,0.0,-510.46,-510.46
-509.73,240,0.0,-509.73,-509.73
-510.96,241,0.0,-510.96,-510.96
-511.67,242,0.0,-511.67,-511.67
-510.9,243,0.0,-510.9,-510.9
-502.94,244,0.0,-502.94,-502.94
-510.87,245,0.0,-510.87,-510.87
-506.02,246,0.0,-506.02,-506.02
-511.18,247,0.0,-511.18,-511.18
-510.37,248,0.0,-510.37,-510.37
-510.24,249,0.0,-510.24,-510.24
-503.43,250,0.0,-503.43,-503.43
-510.15,251,0.0,-510.15,-510.15
-510.07,252,0.0,-510.07,-510.07
-511.8,253,0.0,-511.8,-511.8
-502.54,254,0.0,-502.54,-502.54
-504.24,255,0.0,-504.24,-504.24
-512.55,256,0.0,-512.55,-512.55
-504.98,257,0.0,-504.98,-504.98
-510.26,258,0.0,-510.26,-510.26
-504.07,259,0.0,-504.07,-504.07
-510.86,260,0.0,-510.86,-510.86
-512.01,261,0.0,-512.01,-512.01
-508.8,262,0.0,-508.8,-508.8
-507.74,263,0.0,-507.74,-507.74
-504.3,264,0.0,-504.3,-504.3
-497.94,265,0.0,-497.94,-497.94
-511.01,266,0.0,-511.01,-511.01
-508.89,267,0.0,-508.89,-508.89
-504.39,268,0.0,-504.39,-504.39
-509.37,269,0.0,-509.37,-509.37
-510.43,270,0.0,-510.43,-510.43
-508.93,271,0.0,-508.93,-508.93
-505.36,272,0.0,-505.36,-505.36
-504.21,273,0.0,-504.21,-504.21
-511.51,274,0.0,-511.51,-511.51
-507.46,275,0.0,-507.46,-507.46
-504.51,276,0.0,-504.51,-504.51
-509.8,277,0.0,-509.8,-509.8
-510.71,278,0.0,-510.71,-510.71
-507.76,279,0.0,-507.76,-507.76
-508.93,280,0.0,-508.93,-508.93
-509.03,281,0.0,-509.03,-509.03
-509.46,282,0.0,-509.46,-509.46
-506.65,283,0.0,-506.65,-506.65
-503.11,284,0.0,-503.11,-503.11
-509.7,285,0.0,-509.7,-509.7
-509.96,286,0.0,-509.96,-509.96
-502.09,287,0.0,-502.09,-502.09
-509.7,288,0.0,-509.7,-509.7
-511.02,289,0.0,-511.02,-511.02
-502.26,290,0.0,-502.26,-502.26
-508.31,291,0.0,-508.31,-508.31
-511.16,292,0.0,-511.16,-511.16
-505.19,293,0.0,-505.19,-505.19
-509.65,294,0.0,-509.65,-509.65
-507.72,295,0.0,-507.72,-507.72
-509.83,296,0.0,-509.83,-509.83
-511.09,297,0.0,-511.09,-511.09
-507.34,298,0.0,-507.34,-507.34
-509.89,299,0.0,-509.89,-509.89
-504.75,300,0.0,-504.75,-504.75
-511.63,301,0.0,-511.63,-511.63
-501.1,302,0.0,-501.1,-501.1
-509.94,303,0.0,-509.94,-509.94
-510.11,304,0.0,-510.11,-510.11
-505.26,305,0.0,-505.26,-505.26
-510.08,306,0.0,-510.08,-510.08
-510.57,307,0.0,-510.57,-510.57
-509.25,308,0.0,-509.25,-509.25
-512.54,309,0.0,-512.54,-512.54
-509.91,310,0.0,-509.91,-509.91
-510.16,311,0.0,-510.16,-510.16
-509.32,312,0.0,-509.32,-509.32
-510.53,313,0.0,-510.53,-510.53
-508.21,314,0.0,-508.21,-508.21
-511.07,315,0.0,-511.07,-511.07
-509.24,316,0.0,-509.24,-509.24
-511.67,317,0.0,-511.67,-511.67
-508.51,318,0.0,-508.51,-508.51
-511.3,319,0.0,-511.3,-511.3
-510.98,320,0.0,-510.98,-510.98
-511.54,321,0.0,-511.54,-511.54
-510.69,322,0.0,-510.69,-510.69
-509.39,323,0.0,-509.39,-509.39
-510.24,324,0.0,-510.24,-510.24
-509.43,325,0.0,-509.43,-509.43
-509.94,326,0.0,-509.94,-509.94
-511.24,327,0.0,-511.24,-511.24
-510.23,328,0.0,-510.23,-510.23
-512.74,329,0.0,-512.74,-512.74
-507.4,330,0.0,-507.4,-507.4
-510.5,331,0.0,-510.5,-510.5
-509.78,332,0.0,-509.78,-509.78
-498.73,333,0.0,-498.73,-498.73
-508.01,334,0.0,-508.01,-508.01
-509.48,335,0.0,-509.48,-509.48
-509.89,336,0.0,-509.89,-509.89
-501.21,337,0.0,-501.21,-501.21
-507.42,338,0.0,-507.42,-507.42
-504.67,339,0.0,-504.67,-504.67
-504.69,340,0.0,-504.69,-504.69
-510.72,341,0.0,-510.72,-510.72
-511.09,342,0.0,-511.09,-511.09
-507.64,343,0.0,-507.64,-507.64
-509.6,344,0.0,-509.6,-509.6
-510.73,345,0.0,-510.73,-510.73
-513.19,346,0.0,-513.19,-513.19
-507.73,347,0.0,-507.73,-507.73
-512.26,348,0.0,-512.26,-512.26
-511.13,349,0.0,-511.13,-511.13
-512.42,350,0.0,-512.42,-512.42
-507.92,351,0.0,-507.92,-507.92
-510.57,352,0.0,-510.57,-510.57
-509.66,353,0.0,-509.66,-509.66
-511.1,354,0.0,-511.1,-511.1
-509.94,355,0.0,-509.94,-509.94
-497.83,356,0.0,-497.83,-497.83
-512.2,357,0.0,-512.2,-512.2
-512.74,358,0.0,-512.74,-512.74
-509.8,359,0.0,-509.8,-509.8
-510.74,360,0.0,-510.74,-510.74
-507.99,361,0.0,-507.99,-507.99
-500.9,362,0.0,-500.9,-500.9
-498.97,363,0.0,-498.97,-498.97
-512.31,364,0.0,-512.31,-512.31
-505.51,365,0.0,-505.51,-505.51
-499.72,366,0.0,-499.72,-499.72
-504.48,367,0.0,-504.48,-504.48
-497.52,368,0.0,-497.52,-497.52
-513.95,369,0.0,-513.95,-513.95
-514.04,370,0.0,-514.04,-514.04
-492.84,371,0.0,-492.84,-492.84
-490.49,372,0.0,-490.49,-490.49
-499.33,373,0.0,-499.33,-499.33
-513.63,374,0.0,-513.63,-513.63
-501.45,375,0.0,-501.45,-501.45
-506.77,376,0.0,-506.77,-506.77
-503.27,377,0.0,-503.27,-503.27
-503.61,378,0.0,-503.61,-503.61
-499.44,379,0.0,-499.44,-499.44
-510.13,380,0.0,-510.13,-510.13
-505.26,381,0.0,-505.26,-505.26
-515.94,382,0.0,-515.94,-515.94
-500.32,383,0.0,-500.32,-500.32
-495.0,384,0.0,-495.0,-495.0
-485.57,385,0.0,-485.57,-485.57
-492.94,386,0.0,-492.94,-492.94
-498.91,387,0.0,-498.91,-498.91
-512.52,388,0.0,-512.52,-512.52
-512.67,389,0.0,-512.67,-512.67
-513.06,390,0.0,-513.06,-513.06
-502.28,391,0.0,-502.28,-502.28
-511.7,392,0.0,-511.7,-511.7
-507.64,393,0.0,-507.64,-507.64
-513.39,394,0.0,-513.39,-513.39
-510.87,395,0.0,-510.87,-510.87
-511.5,396,0.0,-511.5,-511.5
-506.04,397,0.0,-506.04,-506.04
-511.22,398,0.0,-511.22,-511.22
-512.37,399,0.0,-512.37,-512.37
-500.13,400,0.0,-500.13,-500.13
-506.58,401,0.0,-506.58,-506.58
-500.31,402,0.0,-500.31,-500.31
-501.59,403,0.0,-501.59,-501.59
-506.68,404,0.0,-506.68,-506.68
-499.35,405,0.0,-499.35,-499.35
-513.89,406,0.0,-513.89,-513.89
-515.15,407,0.0,-515.15,-515.15
-504.99,408,0.0,-504.99,-504.99
-499.52,409,0.0,-499.52,-499.52
-513.13,410,0.0,-513.13,-513.13
-505.95,411,0.0,-505.95,-505.95
-512.92,412,0.0,-512.92,-512.92
-505.42,413,0.0,-505.42,-505.42
-513.64,414,0.0,-513.64,-513.64
-499.98,415,0.0,-499.98,-499.98
-505.15,416,0.0,-505.15,-505.15
-513.28,417,0.0,-513.28,-513.28
-499.04,418,0.0,-499.04,-499.04
-502.14,419,0.0,-502.14,-502.14
-510.05,420,0.0,-510.05,-510.05
-509.5,421,0.0,-509.5,-509.5
-514.5,422,0.0,-514.5,-514.5
-503.49,423,0.0,-503.49,-503.49
-509.92,424,0.0,-509.92,-509.92
-500.8,425,0.0,-500.8,-500.8
-489.24,426,0.0,-489.24,-489.24
-501.51,427,0.0,-501.51,-501.51
-498.01,428,0.0,-498.01,-498.01
-506.11,429,0.0,-506.11,-506.11
-496.5,430,0.0,-496.5,-496.5
-514.73,431,0.0,-514.73,-514.73
-513.03,432,0.0,-513.03,-513.03
-508.82,433,0.0,-508.82,-508.82
-499.89,434,0.0,-499.89,-499.89
-515.35,435,0.0,-515.35,-515.35
-499.87,436,0.0,-499.87,-499.87
-511.21,437,0.0,-511.21,-511.21
-500.87,438,0.0,-500.87,-500.87
-511.01,439,0.0,-511.01,-511.01
-508.25,440,0.0,-508.25,-508.25
-509.69,441,0.0,-509.69,-509.69
-506.63,442,0.0,-506.63,-506.63
-513.57,443,0.0,-513.57,-513.57
-509.48,444,0.0,-509.48,-509.48
-510.9,445,0.0,-510.9,-510.9
-500.28,446,0.0,-500.28,-500.28
-511.27,447,0.0,-511.27,-511.27
-504.86,448,0.0,-504.86,-504.86
-499.38,449,0.0,-499.38,-499.38
-503.31,450,0.0,-503.31,-503.31
-513.76,451,0.0,-513.76,-513.76
-512.14,452,0.0,-512.14,-512.14
-506.87,453,0.0,-506.87,-506.87
-508.02,454,0.0,-508.02,-508.02
-509.72,455,0.0,-509.72,-509.72
-513.04,456,0.0,-513.04,-513.04
-515.13,457,0.0,-515.13,-515.13
-502.03,458,0.0,-502.03,-502.03
-509.17,459,0.0,-509.17,-509.17
-509.09,460,0.0,-509.09,-509.09
-512.08,461,0.0,-512.08,-512.08
-506.56,462,0.0,-506.56,-506.56
-499.24,463,0.0,-499.24,-499.24
-501.09,464,0.0,-501.09,-501.09
-509.13,465,0.0,-509.13,-509.13
-512.18,466,0.0,-512.18,-512.18
-517.58,467,0.0,-517.58,-517.58
-510.13,468,0.0,-510.13,-510.13
-510.32,469,0.0,-510.32,-510.32
-508.31,470,0.0,-508.31,-508.31
-514.0,471,0.0,-514.0,-514.0
-500.38,472,0.0,-500.38,-500.38
-506.62,473,0.0,-506.62,-506.62
-509.85,474,0.0,-509.85,-509.85
-506.03,475,0.0,-506.03,-506.03
-506.05,476,0.0,-506.05,-506.05
-501.41,477,0.0,-501.41,-501.41
-502.27,478,0.0,-502.27,-502.27
-510.64,479,0.0,-510.64,-510.64
-515.58,480,0.0,-515.58,-515.58
-509.85,481,0.0,-509.85,-509.85
-505.96,482,0.0,-505.96,-505.96
-514.3,483,0.0,-514.3,-514.3
-507.85,484,0.0,-507.85,-507.85
-508.98,485,0.0,-508.98,-508.98
-502.19,486,0.0,-502.19,-502.19
-504.42,487,0.0,-504.42,-504.42
-506.81,488,0.0,-506.81,-506.81
-500.91,489,0.0,-500.91,-500.91
-489.69,490,0.0,-489.69,-489.69
-503.24,491,0.0,-503.24,-503.24
-485.29,492,0.0,-485.29,-485.29
-507.31,493,0.0,-507.31,-507.31
-497.63,494,0.0,-497.63,-497.63
-507.91,495,0.0,-507.91,-507.91
-507.63,496,0.0,-507.63,-507.63
-500.2,497,0.0,-500.2,-500.2
-514.04,498,0.0,-514.04,-514.04
-508.31,499,0.0,-508.31,-508.31
-506.89,500,0.0,-506.89,-506.89
-512.03,501,0.0,-512.03,-512.03
-508.38,502,0.0,-508.38,-508.38
-509.04,503,0.0,-509.04,-509.04
-514.75,504,0.0,-514.75,-514.75
-500.88,505,0.0,-500.88,-500.88
-511.19,506,0.0,-511.19,-511.19
-514.71,507,0.0,-514.71,-514.71
